amfi_code,hhi_index,concentration_risk,daily_var_95_pct,daily_cvar_95_pct
100016,1395.3385999999998,Highly Diversified,-1.2883548931908695,-1.6768321461436162
100025,,,-0.3337613149587215,-0.45806565073636163
100033,1475.9226,Highly Diversified,-1.690162517076692,-2.1849843397164253
101206,1293.0586753343466,Highly Diversified,-1.2173429806863612,-1.607512058946511
101207,2007.4057610781579,Moderately Concentrated,-2.391462085614526,-3.028853855689586
101208,,,-0.02184446720203015,-0.0370888261084244
102885,1747.0902,Moderately Concentrated,-1.1047180236723242,-1.4381301038700012
102886,1147.3873090281188,Highly Diversified,-1.6857052171303166,-2.177063382107187
102887,1297.7899290362936,Highly Diversified,-1.3743344236293054,-1.7963512958246095
118632,1682.3090091039976,Moderately Concentrated,-1.233346907720558,-1.6327725070326382
118633,1214.6086,Highly Diversified,-1.206568147523046,-1.5542096862478805
118634,1083.5772,Highly Diversified,-2.2809809042508045,-2.993961894901776
118635,1359.7134290886838,Highly Diversified,-1.103346672270995,-1.4938288639839212
118636,,,-0.3344389562199767,-0.45406871188527165
119092,2064.88965728256,Moderately Concentrated,-1.2692876487327587,-1.6166151944503535
119093,1308.9424000000001,Highly Diversified,-1.258785333198682,-1.6331690102985696
119094,1363.7863290963176,Highly Diversified,-1.6996541912790986,-2.2374528784811143
119095,1096.2727435859897,Highly Diversified,-2.328360266362247,-2.969003972741721
119120,,,-0.3428846226904114,-0.4618214851480345
119551,1187.1552,Highly Diversified,-1.1826841635318985,-1.5229577496502082
119552,1079.8909110188874,Highly Diversified,-1.2129038937142642,-1.6078207856022269
119598,1073.7042301089798,Highly Diversified,-2.1501921496768976,-2.844427140601086
119599,1747.5096,Moderately Concentrated,-2.315543346345327,-3.0162858545493423
120503,1408.7026,Highly Diversified,-1.2133236715948303,-1.6099692653253457
120504,1086.5241842978985,Highly Diversified,-1.2531255294818833,-1.6225606809666344
120505,1575.0735075940215,Moderately Concentrated,-1.6224087303417265,-2.2363198028897977
120506,1537.3210101031184,Moderately Concentrated,-1.3005352264566303,-1.7792496196296157
120507,,,-0.019572938739494946,-0.03253526256203926
120841,1496.5041841981188,Highly Diversified,-1.1724966759344824,-1.5248574925611378
120842,1274.6430158567414,Highly Diversified,-1.6949938922196217,-2.125068794917235
120843,1286.8306,Highly Diversified,-1.3327485173211562,-1.7114102153899122
120844,,,-0.02038147642592136,-0.03620891285341904
125497,1365.8554,Highly Diversified,-1.250186045702889,-1.696448520682221
125498,1524.1398,Moderately Concentrated,-1.676236356598184,-2.148383217515083
148567,1386.1189099207947,Highly Diversified,-1.2607396741943242,-1.6343197522742479
148568,1679.6332098456373,Moderately Concentrated,-1.331269515511313,-1.7383918582139044
148569,1494.5619650035226,Highly Diversified,-1.5259046371143081,-1.9851510510311667
149322,1344.248536264768,Highly Diversified,-1.2955446642516755,-1.6995172112929815
149323,1416.2096,Highly Diversified,-1.5865984799217414,-2.09026576862566
149324,1186.7709999999995,Highly Diversified,-2.152030425318905,-2.857253167644592
